127.0.0.1 - - [18/Jan/2023:17:07:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Index.html HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Bootstrap/CSS/style1.css HTTP/1.1" 200 27640
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Winter_Sale.png HTTP/1.1" 200 1457718
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Panda_Royalty.png HTTP/1.1" 200 1955635
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/New%20Year%20banner.png HTTP/1.1" 200 369846
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Formals2.png HTTP/1.1" 200 531026
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/female%20formals.png HTTP/1.1" 200 491867
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Valentine_Day_2.png HTTP/1.1" 200 152429
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Formals.png HTTP/1.1" 200 633722
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/dresses.png HTTP/1.1" 200 646757
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/tops.png HTTP/1.1" 200 65860
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/hoodies.png HTTP/1.1" 200 124645
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/trousers.png HTTP/1.1" 200 51416
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/shoes.png HTTP/1.1" 200 418958
0:0:0:0:0:0:0:1 - - [18/Jan/2023:17:07:23 +0530] "GET /Project1/Pics/banners/Royal%20Range.png HTTP/1.1" 200 210651
