0:0:0:0:0:0:0:1 - - [13/Jan/2023:12:09:24 +0530] "GET /Project1/Pics/banners/loafers.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:12:09:24 +0530] "GET /Project1/Pics/banners/BTS.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:12:09:24 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:12:09:24 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:37 +0530] "GET /Project1/Pics/banners/panda%20drip.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/ProductList?category=Royal%20Range HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Bootstrap/CSS/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/90a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/89a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/88a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/87a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/86a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:54 +0530] "GET /Project1/Pics/imgs/85a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/Pics/imgs/84a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/Pics/imgs/83a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/Pics/imgs/82a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/Pics/imgs/81a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/Pics/panda.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "GET /Project1/addToCart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:41:55 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Product?pid=P0090&category=Royal%20Range HTTP/1.1" 200 14829
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Pics/imgs/90b.jpg HTTP/1.1" 200 121469
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Pics/earth.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Pics/ethical.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Pics/cruelty.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/Pics/panda2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:01 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:04 +0530] "GET /Project1/ProductList?category=Royal%20Range HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:04 +0530] "GET /Project1/ProductList?category=Royal%20Range HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:04 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:05 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/ProductList?category=New%20Arrivals HTTP/1.1" 200 21378
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/Pics/imgs/80a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/Pics/imgs/79a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/Pics/imgs/78a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/Pics/imgs/77a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:06 +0530] "GET /Project1/Pics/imgs/76a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:07 +0530] "GET /Project1/Pics/imgs/75a.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:07 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:07 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:11 +0530] "GET /Project1/ProductList?category=Royal%20Range HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:11 +0530] "GET /Project1/ProductList?category=Royal%20Range HTTP/1.1" 200 16796
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:11 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:11 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:16 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:17 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:18 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:18 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:19 +0530] "GET /Project1/Product?pid=P0043&category=Shoes HTTP/1.1" 200 14709
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:19 +0530] "GET /Project1/Pics/imgs/43b.jpg HTTP/1.1" 200 22208
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:20 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:20 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:22 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:23 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:23 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:23 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:24 +0530] "GET /Project1/Product?pid=P0042&category=Shoes HTTP/1.1" 200 14713
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:24 +0530] "GET /Project1/Pics/imgs/42b.jpg HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:24 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:24 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:28 +0530] "GET /Project1/Product?pid=P0040&category=Shoes HTTP/1.1" 200 14884
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:28 +0530] "GET /Project1/Pics/imgs/40b.jpg HTTP/1.1" 200 44314
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:28 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:28 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:32 +0530] "GET /Project1/Product?pid=P0042&category=Shoes HTTP/1.1" 200 14713
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:32 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:32 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:32 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:32 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:33 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:33 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:36 +0530] "GET /Project1/Product?pid=P0039&category=Shoes HTTP/1.1" 200 14929
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:36 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:36 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:39 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:39 +0530] "GET /Project1/ProductList?category=Shoes HTTP/1.1" 200 29882
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:39 +0530] "GET /Project1/header.jsp HTTP/1.1" 200 10733
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:39 +0530] "POST /Project1/Cart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jan/2023:20:42:47 +0530] "GET /Project1/Product?pid=P0014&category=Shoes HTTP/1.1" 200 14706
